Field_Set,Field,Type,Example,Description
base,@timestamp,date,2016-05-23T08:05:34.853Z,Date/time when the event originated.
base,labels,object,"{""application"": ""foo-bar"", ""env"": ""production""}",Custom key/value pairs.
base,message,match_only_text,Hello World,Log message optimized for viewing in a log viewer.
base,tags,keyword,"[""production"", ""env2""]",List of keywords used to tag each event.
agent,agent.build.original,keyword,"metricbeat version 7.6.0 (amd64), libbeat 7.6.0 [6a23e8f8f30f5001ba344e4e54d8d9cb82cb107c built 2020-02-05 23:10:10 +0000 UTC]",Extended build information for the agent.
agent,agent.ephemeral_id,keyword,8a4f500f,Ephemeral identifier of this agent.
agent,agent.id,keyword,8a4f500d,Unique identifier of this agent.
agent,agent.name,keyword,foo,Custom name of the agent.
agent,agent.type,keyword,filebeat,Type of the agent.
agent,agent.version,keyword,6.0.0-rc2,Version of the agent.
client,client.address,keyword,,Client network address.
client,client.as.number,long,15169,Unique number allocated to the autonomous system.
client,client.as.organization.name,keyword,Google LLC,Organization name.
client,client.as.organization.name.text,match_only_text,Google LLC,Organization name.
client,client.bytes,long,184,Bytes sent from the client to the server.
client,client.domain,keyword,foo.example.com,The domain name of the client.
client,client.geo.city_name,keyword,Montreal,City name.
client,client.geo.continent_code,keyword,NA,Continent code.
client,client.geo.continent_name,keyword,North America,Name of the continent.
client,client.geo.country_iso_code,keyword,CA,Country ISO code.
client,client.geo.country_name,keyword,Canada,Country name.
client,client.geo.location,geo_point,"{ ""lon"": -73.614830, ""lat"": 45.505918 }",Longitude and latitude.
client,client.geo.name,keyword,boston-dc,User-defined description of a location.
client,client.geo.postal_code,keyword,94040,Postal code.
client,client.geo.region_iso_code,keyword,CA-QC,Region ISO code.
client,client.geo.region_name,keyword,Quebec,Region name.
client,client.geo.timezone,keyword,America/Argentina/Buenos_Aires,Time zone.
client,client.ip,ip,,IP address of the client.
client,client.mac,keyword,00-00-5E-00-53-23,MAC address of the client.
client,client.nat.ip,ip,,Client NAT ip address
client,client.nat.port,long,,Client NAT port
client,client.packets,long,12,Packets sent from the client to the server.
client,client.port,long,,Port of the client.
client,client.registered_domain,keyword,example.com,"The highest registered client domain, stripped of the subdomain."
client,client.subdomain,keyword,east,The subdomain of the domain.
client,client.top_level_domain,keyword,co.uk,"The effective top level domain (com, org, net, co.uk)."
client,client.user.domain,keyword,,Name of the directory the user is a member of.
client,client.user.email,keyword,,User email address.
client,client.user.full_name,keyword,Albert Einstein,"User's full name, if available."
client,client.user.full_name.text,match_only_text,Albert Einstein,"User's full name, if available."
client,client.user.group.domain,keyword,,Name of the directory the group is a member of.
client,client.user.group.id,keyword,,Unique identifier for the group on the system/platform.
client,client.user.group.name,keyword,,Name of the group.
client,client.user.hash,keyword,,Unique user hash to correlate information for a user in anonymized form.
client,client.user.id,keyword,S-1-5-21-202424912787-2692429404-2351956786-1000,Unique identifier of the user.
client,client.user.name,keyword,a.einstein,Short name or login of the user.
client,client.user.name.text,match_only_text,a.einstein,Short name or login of the user.
client,client.user.roles,keyword,"[""kibana_admin"", ""reporting_user""]",Array of user roles at the time of the event.
cloud,cloud.account.id,keyword,666777888999,The cloud account or organization id.
cloud,cloud.account.name,keyword,elastic-dev,The cloud account name.
cloud,cloud.availability_zone,keyword,us-east-1c,"Availability zone in which this host, resource, or service is located."
cloud,cloud.instance.id,keyword,i-1234567890abcdef0,Instance ID of the host machine.
cloud,cloud.instance.name,keyword,,Instance name of the host machine.
cloud,cloud.machine.type,keyword,t2.medium,Machine type of the host machine.
cloud,cloud.origin.account.id,keyword,666777888999,The cloud account or organization id.
